"isolate","assembly","ref_contig","ref_size","draft_contig","draft_size","draft_align","draft_align_total","class","filter","rep","group","per_ref","status","misassembly"
"ATCCBAA2146","canu","ATCCBAA2146_3",117755,"tig00000007, tig00000003, tig00000011, tig00000001","47628, 23891, 23532, 5422145","47881, 23875, 23510, 2258",97524,"plasmid, plasmid, plasmid, chromosome","fail - all alignments too short",3,"large",82.8194131883996,"absent","multiple contigs - chromsome"
"ATCCBAA2146","canu","ATCCBAA2146_4",85160,"tig00000004","84559","84643",84643,"plasmid","pass",3,"medium",99.392907468295,"present","none"
"2022NG-0032","canu","2022NG-0032_1",4153,"tig00000002","11557","8243",8243,"plasmid","pass",3,"small",198.483024319769,"present","none"
"2020QW-00078","canu","2020QW-00078_1",34331,"tig00000002","68461","34288",34288,"plasmid","pass",3,"medium",99.8747487693338,"present","none"
"2020QW-00078","canu","2020QW-00078_2",194062,"tig00000003","217019","189569",189569,"plasmid","pass",3,"large",97.6847605404458,"present","none"
"2020QW-00078","canu","2020QW-00078_4",97090,"tig00000004","192058","97055",97055,"plasmid","pass",3,"medium",99.9639509733237,"present","none"
"2021QW-00045","canu","2021QW-00045_2",97090,"tig00000003","141349","97055",97055,"plasmid","pass",3,"medium",99.9639509733237,"present","none"
"2021QW-00045","canu","2021QW-00045_3",190147,"tig00000002","204687","204747",204747,"plasmid","pass",3,"large",107.678269970076,"present","none"
"2021QW-00057","canu","2021QW-00057_1",46161,"tig00000004","91925","46130",46130,"plasmid","pass",3,"medium",99.9328437425532,"present","none"
"2021QW-00057","canu","2021QW-00057_3",4063,"tig00000021, tig00000017, tig00000022, tig00000020, tig00000019, tig00000018, tig00000014, tig00000023, tig00000013, tig00000024, tig00000016, tig00000025, tig00000026, tig00000015, tig00000011, tig00000010, tig00000012","4123, 4127, 4239, 4121, 4114, 4115, 4133, 4111, 4171, 4125, 4127, 4178, 6944, 4133, 4124, 4170, 4123","3997, 3986, 3934, 3975, 3941, 3990, 3888, 3799, 3888, 3799, 3846, 3740, 3663, 3803, 3730, 3734, 3673",72415,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",3,"small",1782.30371646567,"present","multiple contigs"
"2021QW-00057","canu","2021QW-00057_4",2101,"tig00000007","6188","4120",4120,"plasmid","pass",3,"small",196.097096620657,"present","none"
"2021QW-00057","canu","2021QW-00057_5",118339,"tig00000005","155211","101007",101007,"plasmid","fail - all alignments too short",3,"large",85.3539407972013,"absent","none"
"2021QW-00057","canu","2021QW-00057_6",4715,"tig00000006","12693","9388",9388,"plasmid","pass",3,"small",199.109225874867,"present","none"
"2021QW-00057","canu","2021QW-00057_7",4084,"tig00000042, tig00000041, tig00000038, tig00000037, tig00000036, tig00000040, tig00000039","6417, 4244, 4142, 4133, 4192, 4141, 4133","4062, 3893, 3729, 3708, 3689, 3708, 3689",47623,"plasmid, plasmid, plasmid, plasmid, plasmid, plasmid, plasmid","pass",3,"small",1166.08716944172,"present","multiple contigs"
"2021QW-00056","canu","2021QW-00056_2",95985,"tig00000004","143946","90654",96224,"plasmid","pass",3,"medium",100.248997239152,"present","none"
"2021QW-00056","canu","2021QW-00056_3",12268,"tig00000003","247935","35941",35941,"plasmid","pass",3,"medium",292.965438539289,"present","none"
"2022NG-0076","canu","2022NG-0076_1",4207,"tig00000002","8440","4181",4181,"plasmid","pass",3,"small",99.3819824102686,"present","none"
"2022QW-00133","canu","2022QW-00133_2",43879,"tig00000004","68286","43860",43860,"plasmid","pass",3,"medium",99.9566991043552,"present","none"
"2022QW-00133","canu","2022QW-00133_3",27080,"tig00000003","52155","51770",51770,"plasmid","pass",3,"medium",191.174298375185,"present","none"
"ATCC14028","flye-hq","ATCC14028_2",93832,"contig_2","93781","93773",93773,"plasmid","pass",1,"medium",99.937121664251,"present","none"
"ATCC14458","flye-hq","ATCC14458_1",15773,"contig_9","31532","15760",15760,"plasmid","pass",1,"medium",99.9175806758385,"present","none"
"ATCC14458","flye-hq","ATCC14458_2",30891,"contig_10","30875","30825",49383,"plasmid","pass",1,"medium",159.862095756045,"present","none"
"ATCC14458","flye-hq","ATCC14458_3",4326,"contig_10, contig_11, contig_9","30875, 4436, 31532","253, 1099, 75",1427,"plasmid, plasmid, plasmid","fail - all alignments too short",1,"small",32.9865926953306,"absent","multiple contigs"
"ATCC14458","flye-hq","ATCC14458_5",4439,"contig_11","4436","4387",4387,"plasmid","pass",1,"small",98.8285649921153,"present","none"
"ATCC23235","flye-hq","ATCC23235_1",27269,"contig_5","27249","27211",27211,"plasmid","pass",1,"medium",99.7873042649162,"present","none"
"ATCC25922","flye-hq","ATCC25922_1",48488,"contig_7","45473","45435",48416,"plasmid","pass",1,"medium",99.8515096518726,"present","none"
"ATCC25922","flye-hq","ATCC25922_2",3173,"contig_1, contig_2","1396, 1337","1351, 1254",2605,"plasmid, plasmid","fail - all alignments too short",1,"small",82.0989599747873,"absent","multiple contigs"
"ATCC25922","flye-hq","ATCC25922_3",1919,"contig_6","3828","1882",1882,"plasmid","pass",1,"small",98.0719124544033,"present","none"
"ATCC25922","flye-hq","ATCC25922_5",24185,"contig_5","24162","24112",24112,"plasmid","pass",1,"medium",99.6981600165392,"present","none"
"ATCC25923","flye-hq","ATCC25923_2",27490,"contig_2","27481","27454",27454,"plasmid","pass",1,"medium",99.8690432884685,"present","none"
"ATCC33090","flye-hq","ATCC33090_1",104612,"contig_3","104557","104563",104563,"plasmid","pass",1,"large",99.9531602493022,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_1",140825,"contig_5","140902","140880",140880,"plasmid","pass",1,"large",100.039055565418,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_2",2014,"contig_3","2253","2101",2101,"plasmid","pass",1,"small",104.319761668322,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_3",117755,"contig_2","115148","115021",117280,"plasmid","pass",1,"large",99.5966201010573,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_4",85160,"contig_4","85233","85205",85205,"plasmid","pass",1,"medium",100.052841709723,"present","none"
"2022NG-0032","flye-hq","2022NG-0032_1",4153,"contig_2","4151","4101",4101,"plasmid","pass",1,"small",98.747893089333,"present","none"
"2020QW-00078","flye-hq","2020QW-00078_1",34331,"contig_4","68575","62681",62681,"plasmid","pass",1,"medium",182.578427660132,"present","none"
"2020QW-00078","flye-hq","2020QW-00078_2",194062,"contig_3","194007","193994",193994,"plasmid","pass",1,"large",99.96495965207,"present","none"
"2020QW-00078","flye-hq","2020QW-00078_4",97090,"contig_1","97043","97045",97045,"plasmid","pass",1,"medium",99.9536512514162,"present","none"
"2021QW-00045","flye-hq","2021QW-00045_2",97090,"contig_2","97061","97023",97023,"plasmid","pass",1,"medium",99.9309918632197,"present","none"
"2021QW-00045","flye-hq","2021QW-00045_3",190147,"contig_3","190091","190104",190104,"plasmid","pass",1,"large",99.9773859172114,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_1",46161,"contig_5","46143","46113",46113,"plasmid","pass",1,"medium",99.8960161175018,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_3",4063,"*","0","0",0,"plasmid","pass",1,"small",0,"absent","none"
"2021QW-00057","flye-hq","2021QW-00057_4",2101,"*","0","0",0,"plasmid","pass",1,"small",0,"absent","none"
"2021QW-00057","flye-hq","2021QW-00057_5",118339,"contig_2","118306","118292",118292,"plasmid","pass",1,"large",99.9602835920533,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_6",4715,"contig_3","9413","8719",8719,"plasmid","pass",1,"small",184.92046659597,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_7",4084,"*","0","0",0,"plasmid","pass",1,"small",0,"absent","none"
"2021QW-00056","flye-hq","2021QW-00056_2",95985,"contig_5","95945","95938",95938,"plasmid","pass",1,"medium",99.9510340157316,"present","none"
"2021QW-00056","flye-hq","2021QW-00056_3",12268,"contig_3","206089","24476",24476,"plasmid","pass",1,"medium",199.510922725791,"present","none"
"2022NG-0076","flye-hq","2022NG-0076_1",4207,"contig_2","16854","12549",12549,"plasmid","pass",1,"small",298.28856667459,"present","none"
"2022QW-00133","flye-hq","2022QW-00133_2",43879,"contig_2","43869","43812",43812,"plasmid","pass",1,"medium",99.8473073679892,"present","none"
"2022QW-00133","flye-hq","2022QW-00133_3",27080,"contig_3","27072","27049",27049,"plasmid","pass",1,"medium",99.8855243722304,"present","none"
"ATCC14028","flye-hq","ATCC14028_2",93832,"contig_2","93786","93769",93769,"plasmid","pass",2,"medium",99.9328587262341,"present","none"
"ATCC14458","flye-hq","ATCC14458_1",15773,"contig_16","15763","15432",15432,"plasmid","pass",2,"medium",97.8380777277626,"present","none"
"ATCC14458","flye-hq","ATCC14458_2",30891,"contig_15, contig_16","21274, 15763","21242, 9581",30823,"plasmid, plasmid","pass - fragmented",2,"medium",99.7798711598847,"present","fragmented"
"ATCC14458","flye-hq","ATCC14458_3",4326,"contig_13","17305","16358",16358,"plasmid","pass",2,"small",378.132223763292,"present","none"
"ATCC14458","flye-hq","ATCC14458_5",4439,"contig_12","8875","4415",4415,"plasmid","pass",2,"small",99.4593376886686,"present","none"
"ATCC23235","flye-hq","ATCC23235_1",27269,"contig_6","27250","27197",27197,"plasmid","pass",2,"medium",99.7359639150684,"present","none"
"ATCC25922","flye-hq","ATCC25922_1",48488,"contig_6","45474","45435",48416,"plasmid","pass",2,"medium",99.8515096518726,"present","none"
"ATCC25922","flye-hq","ATCC25922_2",3173,"contig_4","6341","5744",5744,"plasmid","pass",2,"small",181.027418846517,"present","none"
"ATCC25922","flye-hq","ATCC25922_3",1919,"contig_2","3828","3740",3740,"plasmid","pass",2,"small",194.893173527879,"present","none"
"ATCC25922","flye-hq","ATCC25922_5",24185,"contig_5","24166","24106",24106,"plasmid","pass",2,"medium",99.6733512507753,"present","none"
"ATCC25923","flye-hq","ATCC25923_2",27490,"contig_2","27479","27451",27451,"plasmid","pass",2,"medium",99.8581302291743,"present","none"
"ATCC33090","flye-hq","ATCC33090_1",104612,"contig_3","104557","104546",104546,"plasmid","pass",2,"large",99.9369097235499,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_1",140825,"contig_4","140915","140910",140910,"plasmid","pass",2,"large",100.060358601101,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_2",2014,"contig_3","2114","1976",1976,"plasmid","pass",2,"small",98.1132075471698,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_3",117755,"contig_5","117865","117846",117846,"plasmid","pass",2,"large",100.077279096429,"present","none"
"ATCCBAA2146","flye-hq","ATCCBAA2146_4",85160,"contig_2","85248","85229",85229,"plasmid","pass",2,"medium",100.081023954908,"present","none"
"2022NG-0032","flye-hq","2022NG-0032_1",4153,"contig_1","4149","4091",4091,"plasmid","pass",2,"small",98.5071032988201,"present","none"
"2020QW-00078","flye-hq","2020QW-00078_1",34331,"contig_4","34278","34277",34277,"plasmid","pass",2,"medium",99.8427077568378,"present","none"
"2020QW-00078","flye-hq","2020QW-00078_2",194062,"contig_2","194014","194011",194011,"plasmid","pass",2,"large",99.9737197390525,"present","none"
"2020QW-00078","flye-hq","2020QW-00078_4",97090,"contig_1","97041","97030",97030,"plasmid","pass",2,"medium",99.938201668555,"present","none"
"2021QW-00045","flye-hq","2021QW-00045_2",97090,"contig_3","97058","97019",97019,"plasmid","pass",2,"medium",99.9268719744567,"present","none"
"2021QW-00045","flye-hq","2021QW-00045_3",190147,"contig_2","190090","190108",190108,"plasmid","pass",2,"large",99.9794895528197,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_1",46161,"contig_4","92290","46130",46130,"plasmid","pass",2,"medium",99.9328437425532,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_3",4063,"*","0","0",0,"plasmid","pass",2,"small",0,"absent","none"
"2021QW-00057","flye-hq","2021QW-00057_4",2101,"*","0","0",0,"plasmid","pass",2,"small",0,"absent","none"
"2021QW-00057","flye-hq","2021QW-00057_5",118339,"contig_3","118301","118273",118273,"plasmid","pass",2,"large",99.9442280228834,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_6",4715,"contig_2","4702","4673",4673,"plasmid","pass",2,"small",99.1092258748674,"present","none"
"2021QW-00057","flye-hq","2021QW-00057_7",4084,"*","0","0",0,"plasmid","pass",2,"small",0,"absent","none"
"2021QW-00056","flye-hq","2021QW-00056_2",95985,"contig_3","95951","95925",95925,"plasmid","pass",2,"medium",99.9374902328489,"present","none"
"2021QW-00056","flye-hq","2021QW-00056_3",12268,"contig_2","214618","35926",35926,"plasmid","pass",2,"medium",292.843169220737,"present","none"
"2022NG-0076","flye-hq","2022NG-0076_1",4207,"contig_2","8418","8112",8112,"plasmid","pass",2,"small",192.821487996197,"present","none"
"2022QW-00133","flye-hq","2022QW-00133_2",43879,"contig_3","43862","43827",43827,"plasmid","pass",2,"medium",99.8814922856036,"present","none"
"2022QW-00133","flye-hq","2022QW-00133_3",27080,"contig_2","54146","27067",27067,"plasmid","pass",2,"medium",99.9519940915805,"present","none"
"ATCC14028","flye-hq","ATCC14028_2",93832,"contig_2","93772","93770",93770,"plasmid","pass",3,"medium",99.9339244607383,"present","none"
"ATCC14458","flye-hq","ATCC14458_1",15773,"contig_13","15762","15725",25008,"plasmid","pass",3,"medium",158.549419894757,"present","none"
"ATCC14458","flye-hq","ATCC14458_2",30891,"contig_12","48351","32412",32762,"plasmid","pass",3,"medium",106.056780291994,"present","none"
"ATCC14458","flye-hq","ATCC14458_3",4326,"contig_10","17291","17078",17078,"plasmid","pass",3,"small",394.775774387425,"present","none"
